user_id,user_idx
5976,226
6009,227
6010,228
6054,229
6055,230
6057,231
6059,232
6127,233
6129,234
6145,235
6179,236
6215,237
6279,238
6282,239
6283,240
6305,241
6362,242
6393,243
6397,244
6398,245
6401,246
6479,247
6486,248
6501,249
6504,250
6657,251
6658,252
6698,253
6732,254
6786,255
6800,256
6822,257
6823,258
6831,259
6839,260
6840,261
6842,262
6843,263
6850,264
6852,265
6855,266
6858,267
6870,268
6890,269
6891,270
6892,271
6893,272
6913,273
6923,274
6924,275
6983,276
6987,277
6990,278
7023,279
7044,280
7087,281
7102,282
7166,283
7184,284
7193,285
7202,286
7205,287
7206,288
7232,289
7263,290
7313,291
7347,292
7352,293
7396,294
7401,295
7404,296
7405,297
7447,298
7522,299
7524,300
7535,301
7563,302
7602,303
7618,304
7626,305
7628,306
7631,307
7632,308
7636,309
7669,310
7677,311
7767,312
7785,313
7799,314
7802,315
7827,316
7828,317
7859,318
7893,319
7919,320
7922,321
7923,322
7925,323
7929,324
7944,325
7950,326
7987,327
8052,328
8054,329
8055,330
8082,331
8121,332
8122,333
8128,334
8145,335
8147,336
8149,337
8171,338
8198,339
8201,340
8226,341
8232,342
8233,343
8245,344
8250,345
8284,346
8311,347
8354,348
8361,349
8399,350
8408,351
8409,352
8452,353
8457,354
8461,355
8495,356
8527,357
8528,358
8529,359
8562,360
8565,361
8590,362
8591,363
8622,364
8649,365
8663,366
8680,367
8691,368
8701,369
8755,370
8759,371
8763,372
8769,373
8799,374
8814,375
8816,376
8850,377
8856,378
8890,379
8903,380
8968,381
8969,382
8981,383
9034,384
9043,385
9055,386
9059,387
9076,388
9094,389
9096,390
9097,391
9098,392
9103,393
9119,394
9123,395
9151,396
9153,397
9186,398
9192,399
9193,400
9201,401
9232,402
9238,403
9242,404
9274,405
9286,406
9287,407
9288,408
9320,409
9337,410
9345,411
9350,412
9357,413
9422,414
9423,415
9424,416
9429,417
9453,418
9462,419
9480,420
9488,421
9493,422
9499,423
9503,424
9505,425
9508,426
9509,427
9511,428
9555,429
9599,430
9605,431
9617,432
9620,433
9621,434
9623,435
9637,436
9638,437
9639,438
9645,439
9648,440
9649,441
9660,442
9665,443
9718,444
9736,445
9742,446
9776,447
9782,448
9787,449
9803,450
9804,451
9806,452
9815,453
9848,454
9849,455
9860,456
9863,457
9889,458
9891,459
9898,460
9902,461
9906,462
9929,463
9941,464
9950,465
9973,466
9980,467
9983,468
9984,469
9991,470
9998,471
10041,472
10048,473
10049,474
10060,475
10067,476
10068,477
10074,478
10090,479
10106,480
10110,481
10115,482
10147,483
10170,484
10171,485
10183,486
10221,487
10257,488
10259,489
10272,490
10300,491
10303,492
10343,493
10385,494
10393,495
10395,496
10410,497
10466,498
10494,499
10499,500
10510,501
10516,502
10517,503
10527,504
10557,505
10563,506
10567,507
10572,508
10573,509
10585,510
10590,511
10619,512
10623,513
10624,514
10625,515
10633,516
10645,517
10651,518
10653,519
10654,520
10664,521
10668,522
10725,523
10727,524
10766,525
10775,526
10778,527
10798,528
10799,529
10823,530
10839,531
10852,532
10875,533
10891,534
10894,535
10953,536
10974,537
10982,538
10983,539
10986,540
10987,541
10993,542
11025,543
11029,544
11033,545
11067,546
11097,547
11119,548
11121,549
11137,550
11145,551
11152,552
11243,553
11250,554
11271,555
11402,556
11442,557
11450,558
11463,559
11473,560
11483,561
11486,562
11521,563
11550,564
11551,565
11553,566
11566,567
11568,568
11693,569
11695,570
11696,571
11736,572
11785,573
11824,574
11851,575
11946,576
11995,577
11996,578
12036,579
12037,580
12067,581
12068,582
12083,583
12120,584
12199,585
12207,586
12273,587
12281,588
12282,589
12298,590
12300,591
12429,592
12442,593
12443,594
12509,595
12553,596
12633,597
12656,598
12668,599
12697,600
12727,601
12733,602
12739,603
12741,604
12846,605
12849,606
12859,607
12862,608
12891,609
12897,610
12928,611
12932,612
12933,613
13007,614
13035,615
13087,616
13115,617
13129,618
13131,619
13151,620
13156,621
13159,622
13178,623
13181,624
13182,625
13210,626
13212,627
13255,628
13275,629
13277,630
13386,631
13387,632
13427,633
13448,634
13450,635
13483,636
13486,637
13525,638
13595,639
13622,640
13687,641
13695,642
13733,643
13740,644
13770,645
13801,646
13835,647
13852,648
13853,649
13915,650
13953,651
14019,652
14048,653
14068,654
14081,655
14090,656
14130,657
14134,658
14172,659
14207,660
14219,661
14221,662
14261,663
14263,664
14284,665
14286,666
14293,667
14328,668
14330,669
14341,670
14378,671
14393,672
14440,673
14441,674
14480,675
14548,676
14550,677
14551,678
14555,679
14586,680
14588,681
14592,682
14626,683
14628,684
14656,685
14658,686
14704,687
14741,688
14781,689
14787,690
14808,691
14883,692
14884,693
14892,694
14906,695
14918,696
14964,697
14972,698
15087,699
15115,700
15117,701
15228,702
15294,703
15336,704
15393,705
15396,706
15431,707
15459,708
15487,709
15520,710
15521,711
15523,712
15583,713
15592,714
15617,715
15619,716
15732,717
15767,718
15769,719
15808,720
15809,721
15810,722
15818,723
15964,724
15990,725
15996,726
15997,727
16002,728
16019,729
16028,730
16060,731
16061,732
16063,733
16072,734
16090,735
16099,736
16117,737
16152,738
16155,739
16204,740
16209,741
16230,742
16284,743
16300,744
16339,745
16367,746
16429,747
16430,748
16444,749
16445,750
16475,751
16476,752
16477,753
16478,754
16488,755
16507,756
16523,757
16555,758
16608,759
16615,760
16621,761
16640,762
16642,763
16744,764
16745,765
16746,766
16767,767
16774,768
16798,769
16830,770
16841,771
16847,772
16875,773
16888,774
16889,775
16891,776
16893,777
16909,778
16925,779
16929,780
16934,781
16942,782
16943,783
17048,784
17069,785
17078,786
17124,787
17139,788
17181,789
17210,790
17275,791
17293,792
17298,793
17323,794
17330,795
17337,796
17371,797
17377,798
17380,799
17388,800
17392,801
17399,802
17435,803
17436,804
17437,805
17475,806
17476,807
17496,808
17508,809
17512,810
17516,811
17524,812
17532,813
17533,814
17565,815
17598,816
17601,817
17672,818
17708,819
